frame,rppg_signal
0,-0.3387327
1,0.49752474
2,0.98562557
3,1.0935265
4,1.8610417
5,1.2081468
6,1.545405
7,-0.32328293
8,-0.50837106
9,-0.06919021
10,0.9703538
11,1.1425772
12,0.4289369
13,0.54798406
14,0.71841335
15,-0.09509769
16,0.019694038
17,0.17123252
18,0.23791514
19,-1.6770744
20,-0.6865662
21,-0.85368955
22,-1.1073775
23,-0.7893738
24,-1.4377021
25,-1.2434064
26,-1.7246565
27,-1.648618
28,-1.373506
29,-0.109496854
30,-1.2976971
31,-0.9717785
32,-0.501821
33,-1.0001493
34,-0.5707452
35,-1.1194372
36,-0.8537172
37,-0.11150105
38,-1.2636305
39,-0.82593966
40,0.21098067
41,-0.30368334
42,-0.21021494
43,0.7860119
44,0.75374466
45,1.2225441
46,0.43957412
47,0.5054982
48,0.17961429
49,1.1666067
50,0.5185079
51,0.47289273
52,0.16018748
53,0.45775703
54,0.42761227
55,1.1349864
56,2.1286151
57,1.3678974
58,1.930164
59,0.83763695
60,0.16822079
61,1.1040889
62,-0.26503125
63,-0.12738806
64,-0.5379842
65,-0.2740886
66,0.82483643
67,0.64298964
68,1.1564575
69,0.90787554
70,0.9771786
71,1.0367783
72,1.0170869
73,1.2740407
74,1.0110278
75,0.8462578
76,1.5377127
77,1.3616643
78,1.5839791
79,0.36627203
80,0.6716853
81,1.129305
82,0.77341694
83,0.884846
84,0.7776003
85,1.290027
86,1.4081539
87,1.1625386
88,1.1721654
89,1.8650944
90,1.7573955
91,1.3437973
92,1.5508772
93,1.0694281
94,1.9145628
95,1.964934
96,1.6087404
97,1.6536758
98,1.569206
99,1.3360615
100,1.0296012
101,1.4998719
102,1.116642
103,1.3780537
104,0.54815644
105,0.26248753
106,0.55518717
107,-0.12842934
108,-0.5718215
109,-0.12444647
110,-0.09593907
111,0.34766415
112,1.117127
113,0.059194647
114,-0.29396984
115,0.10026466
116,-0.05328888
117,-0.0366211
118,0.20983958
119,-0.045973018
120,-0.6390208
121,-0.36181873
122,0.29318598
123,0.7513531
124,0.48642316
125,0.38463178
126,0.49945483
127,0.7689
128,-0.7473818
129,-1.4978776
130,-0.6332388
131,-0.6003997
132,-0.6604055
133,-1.6966556
134,-0.9992249
135,0.061961684
136,-1.1206617
137,-1.428341
138,-1.6764456
139,0.32430077
140,-0.45690578
141,0.35481715
142,-0.27381018
143,-0.2884747
144,-1.1644356
145,-0.24235387
146,-0.5583339
147,-0.5080798
148,-0.50943524
149,-0.459487
150,-0.6808668
151,0.14198622
152,-0.8510083
153,-1.8460833
154,-1.3054264
155,-1.9461678
156,-1.0799625
157,-1.5727766
158,-1.490444
159,-1.1291996
160,-1.5335479
161,-1.2947407
162,-1.8218323
163,-1.5132949
164,-0.25812116
165,0.2892255
166,-0.5791118
167,-1.2935092
168,-1.4030669
169,-0.40825644
170,-0.33425578
171,-0.37022215
172,0.21308322
173,0.4804109
174,0.8702495
175,0.45980498
176,0.56219435
177,0.90465987
178,0.6374979
179,-0.33833605
180,-0.20514783
181,0.18119645
182,-0.6456264
183,-1.0981098
184,-0.84564954
185,-0.015049765
186,-1.2177763
187,-0.39493996
188,0.14624022
189,0.21977198
190,-0.094031565
191,-1.5402852
192,-0.56709886
193,0.2979357
194,-0.276876
195,-0.5000504
196,-0.83320487
197,-1.0838112
198,-2.1412616
199,-1.7259358
200,-1.834178
201,-0.50678635
202,-0.4377047
203,-0.36479893
204,-0.3532215
205,-1.5711828
206,0.23110771
207,-1.7333452
208,0.711569
209,0.03849608
210,0.7366415
211,0.04524762
212,0.6308894
213,0.4594614
214,-0.1418251
215,0.33318317
216,0.12685107
217,0.46819913
218,-1.2317029
219,-0.6223061
220,0.0040458883
221,-0.49808723
222,-1.2294356
223,-0.7031576
224,-1.4173583
225,-0.9147592
226,-0.92907405
227,-1.4495171
228,-1.547154
229,-1.3172462
230,-1.6376748
231,-1.4234431
232,-1.576393
233,-1.9759024
234,-1.3823279
235,-1.5562836
236,0.04691877
237,0.1448202
238,0.13476272
239,-0.28885114
240,0.37021512
241,0.8474758
242,1.2029005
243,1.5428509
244,1.4536937
245,1.1361796
246,1.0675068
247,0.6176205
248,0.92410344
249,0.47095907
250,1.1711293
251,1.3952283
252,0.72958034
253,0.849086
254,0.30992994
255,0.2763426
256,0.005116902
257,0.5904313
258,0.027859634
259,-0.33000287
260,0.9314984
261,0.14032815
262,0.33980522
263,0.850573
264,0.32991216
265,-0.6418244
266,-0.44313648
267,-0.12835446
268,-1.5165455
269,0.4645484
270,0.37917042
271,0.36344925
272,1.0367026
273,1.1024303
274,1.4724572
275,1.0095241
276,1.3023776
277,1.1970897
278,0.91666704
279,-0.10811937
280,0.45925367
281,0.06902621
282,0.3091531
283,1.3910894
284,0.8486314
285,0.33586118
286,-0.062472858
287,0.39998916
288,-0.012681631
289,0.6244921
290,-1.1822577
291,-0.32552132
292,0.41619176
293,1.1496166
294,0.13916159
295,-2.6260118
296,-2.2739015
297,-2.2170885
298,-2.517509
299,-2.1235132
