video_id,given_label,suggested_label,confidence
subject_9_Vid_6,0,1,0.6143478886265653
subject_21_Vid_5,0,3,0.7953568062332962
subject_20_Vid_7,0,1,0.7738805340593794
subject_84_Vid_3,0,1,0.9585160456215283
subject_33_Vid_1,1,2,0.837592859377135
subject_26_Vid_5,1,2,0.949364048732959
subject_70_Vid_5,1,2,0.9684344224666207
subject_32_Vid_7,1,3,0.8195059465167801
subject_62_Vid_3,1,3,0.9643854725209138
subject_23_Vid_5,1,3,0.8625709585017334
subject_10_Vid_6,2,3,0.8662185210522747
subject_15_Vid_6,2,3,0.811237345679649
subject_26_Vid_2,2,1,0.6881613935282609
subject_41_Vid_7,2,3,0.774622131125306
subject_70_Vid_2,2,1,0.6814500996732504
subject_62_Vid_7,2,3,0.6956941148326871
subject_62_Vid_5,2,3,0.9648453430011471
subject_37_Vid_7,2,3,0.6104601896990727
subject_33_Vid_2,2,1,0.8682503384085632
subject_65_Vid_6,3,1,0.7650552957271988
subject_1_Vid_5,3,2,0.9770599771088577
subject_20_Vid_5_2,3,2,0.9225753329320598
subject_56_Vid_3,3,1,0.7088174406544804
